Role,Level,Skills,Next_Step,Projects
MBA Finance,Beginner,"Accounting Basics (Debits/Credits, Journals, Ledgers), Financial Statements (P&L, Balance Sheet, Cash Flow), Excel Basics (Formulas, Functions, Charts), Ratio Analysis (Liquidity, Profitability, Efficiency, Solvency), Business Finance Fundamentals, Cost Concepts, Budgeting Basics, Time Value of Money, Interest Calculations, Financial Terminology, Basic Forecasting, Introduction to Financial Software (Tally/ERP), Data Handling in Excel, Scenario Analysis, Break-even Analysis, Excel Shortcuts, Pivot Tables, Conditional Formatting, Data Visualization, Basic Accounting Software Usage, Financial Record Keeping","Learn Financial Modeling + Excel Skills","Personal Budget Tracker, Simple P&L and Balance Sheet Preparation, Break-even Analysis Project, Ratio Analysis Dashboard (Excel), Loan Interest Calculator, Small Business Cash Flow Simulation, Expense Tracking System, Mini Financial Statement Analysis, Basic Investment Tracker, Revenue vs Expense Visualization"
MBA Finance,Intermediate,"Financial Modeling (Excel-based, Scenario & Sensitivity Analysis), Valuation Techniques (DCF, Comparable Companies, Precedent Transactions), Risk Analysis & Management (Market Risk, Credit Risk, Operational Risk), Corporate Finance (Capital Structure, Cost of Capital, Dividend Policy), Budgeting & Forecasting (Top-down & Bottom-up), Advanced Excel (Macros, VBA, Solver, What-if Analysis), Financial Reporting Standards, Portfolio Concepts, Capital Budgeting (NPV, IRR, Payback Period), Debt & Equity Financing, Financial Ratios Advanced, Business Case Analysis, M&A Basics, Excel Dashboard Automation, KPI Analysis, Financial Statement Forecasting, Variance Analysis, Sensitivity & Scenario Analysis, Investment Appraisal, Reporting Techniques, Scenario Modeling, Data Validation & Cleaning, Excel Charts & Graphs Advanced","Build Finance Projects + Case Studies","DCF Valuation of Company, Corporate Budget Forecast Model, Risk Analysis Dashboard, Portfolio Performance Tracker, Investment Feasibility Project, M&A Case Study Analysis, Loan Portfolio Simulation, Capital Budgeting Project (NPV & IRR), Advanced Financial Dashboard, Business Plan Financial Projection, Sensitivity Analysis of Revenues & Costs, Expense vs Revenue Forecast Dashboard, Forecasting Sales Model"
MBA Finance,Advanced,"Investment Banking (Equity, Debt, IPOs, Bonds), Portfolio Management (Asset Allocation, Risk-adjusted Returns, Diversification, Modern Portfolio Theory), Derivatives (Options, Futures, Swaps, Hedging Techniques), Mergers & Acquisitions (Deal Structuring, Valuation, Due Diligence), Financial Strategy & Planning, Market Analysis (Equity, Debt, Forex, Commodities), Corporate Governance, Advanced Risk Management, Alternative Investments (Private Equity, Hedge Funds, Real Estate), Structured Finance, Regulatory Compliance, Financial Engineering, Capital Markets Operations, Strategic Financial Decision-making, Advanced Excel & VBA for Modeling, Scenario & Monte Carlo Simulation, Business Valuation Techniques, Investment Research & Analysis, Financial Statement Analysis Advanced, Asset Management Strategies, Financial Planning & Forecasting, Investor Reporting, Portfolio Optimization, Stress Testing & Risk Simulation, Tax Planning & Regulatory Impact, Global Financial Markets & Instruments","Apply for Finance Roles + Enterprise Projects + Portfolio Building","IPO Valuation Project, Portfolio Optimization Simulation, M&A Deal Modeling, Derivatives Trading Simulation, Investment Research & Analysis Dashboard, Corporate Financial Strategy Case Study, Hedge Fund Portfolio Management Project, Structured Finance Modeling, Advanced Risk Assessment Project, Multi-Asset Investment Dashboard, Capital Markets Simulation, Tax & Regulatory Impact Simulation, Stress Test & Scenario Modeling, Global Market Analysis Report, Financial Strategy for Enterprise Project"

MBA Marketing,Beginner,"Marketing Fundamentals (4Ps, Marketing Mix, Segmentation, Targeting, Positioning), Consumer Behavior (Psychology, Buying Patterns, Decision Making), Branding Basics (Brand Identity, Brand Equity, Logo & Visual Elements), Communication Skills (Written, Verbal, Presentation), Market Research (Primary & Secondary Research, Surveys, Questionnaires), Marketing Channels Overview, Advertising Basics, Sales Fundamentals, Customer Journey Basics, SWOT Analysis, Competitor Analysis, Market Trends, Product Lifecycle, Pricing Basics, Promotional Strategies, Digital Marketing Introduction, Social Media Basics, Email Marketing Intro, Customer Feedback Analysis, Content Basics, Campaign Planning, CRM Fundamentals","Learn Digital Marketing + Fundamentals","Personal Branding Project, Social Media Campaign for Local Business, Market Research Survey Project, SWOT Analysis for a Product/Service, Branding Mockup (Logo, Colors, Identity), Simple Email Marketing Campaign, Content Plan for Blog/Social Media, Competitor Analysis Report, Customer Persona Creation, Product Launch Simulation"
MBA Marketing,Intermediate,"SEO (On-Page, Off-Page, Technical SEO, Keyword Research), SEM (Google Ads, Paid Search, PPC Campaigns), Social Media Marketing (Facebook, Instagram, LinkedIn, Twitter, Content Scheduling, Ads), Content Marketing (Blog Posts, Video, Infographics, Storytelling), Email Marketing (Automation, Segmentation, Campaign Design), Google Analytics (Tracking, Goals, Conversions, Reports), Campaign Management (Planning, Execution, Monitoring), A/B Testing, Customer Journey Mapping, Marketing Funnel Optimization, Paid Media Strategy, Analytics Reporting, Brand Voice Development, Influencer Marketing Basics, Copywriting for Conversions, Retargeting Campaigns, Landing Page Optimization, CRM Advanced, Engagement Metrics, Marketing Automation Tools (HubSpot, Mailchimp, Zapier), UX Basics for Marketing, Customer Feedback & Surveys, Competitor Benchmarking","Run Campaigns + Build Marketing Portfolio","SEO Optimized Website Project, Google Ads Campaign Simulation, Social Media Campaign for a Brand (Organic + Paid), Email Automation Campaign (Newsletter + Promotion), Blog & Content Strategy Project, Customer Journey Mapping Exercise, A/B Testing Campaign (Landing Page/Email), Influencer Marketing Campaign Simulation, Analytics Dashboard (Google Analytics + Reports), Marketing Funnel Optimization Project, Retargeting Campaign Mockup, Engagement Tracking Dashboard, Competitor Benchmark Analysis"
MBA Marketing,Advanced,"Brand Strategy (Positioning, Differentiation, Brand Equity Management), Growth Marketing (Acquisition, Retention, Virality, Funnel Optimization), Performance Marketing (ROI, ROAS, KPIs, Budget Allocation), Marketing Analytics (Predictive Analytics, Customer Segmentation, LTV Analysis), Customer Retention Strategies (Loyalty Programs, CRM, Churn Prediction), Product Marketing (Go-to-Market Strategy, Messaging, Launches), Omnichannel Marketing Strategy, Advanced Digital Campaign Management, Conversion Rate Optimization (CRO), Paid Media Scaling (Ad Spend Optimization), Marketing Automation (Advanced Workflows, AI Tools), Advanced SEO/SEM Strategy, Data-Driven Decision Making, Personalization & Targeting, Influencer & Partnership Strategy, Brand Reputation Management, Advanced Content Strategy, Integrated Marketing Campaigns, Pricing & Revenue Strategy, Stakeholder Communication, Market Expansion Strategies, Marketing Operations, KPI Reporting & Dashboards, Strategic Planning, Budget Forecasting, Global Marketing Practices","Apply for Marketing Roles + Build Enterprise-Level Marketing Projects","Brand Launch Case Study (Full Strategy), Growth Marketing Experiment (Acquisition + Retention), Performance Marketing Campaign with ROI Analysis, Marketing Analytics Dashboard (Predictive + Segmentation), Customer Retention Program Simulation, Product Marketing Launch Project, Omnichannel Campaign Project, Conversion Rate Optimization Case Study, Paid Media Scaling Simulation, Marketing Automation Workflow Project, Advanced SEO/SEM Strategy Implementation, Influencer Partnership Campaign, Integrated Marketing Campaign Project, Market Expansion Strategy Simulation, KPI Reporting Dashboard Project"

Business Analyst,Beginner,"Excel Basics (Formulas, Functions, Pivot Tables, Charts), Communication Skills (Written, Verbal, Presentation), SQL Basics (SELECT, WHERE, JOIN, GROUP BY), Business Understanding (Industry Concepts, Business Processes, KPIs), Requirement Basics (Functional & Non-Functional Requirements, Stakeholder Interviews), Documentation Basics (Notes, Reports, Templates), Data Cleaning & Formatting, Introduction to Dashboards, Process Mapping Basics, Flowcharts, Basic Data Interpretation, Metrics & KPIs Overview, Version Control (Git Basics), Introduction to Business Tools (Jira, Trello, Confluence), Time Management, Problem-Solving Techniques, Data Types & Structures, Stakeholder Identification, Basic Reporting, Introduction to Agile & Scrum Concepts","Learn Data Analysis + Build Foundational Skills","Sales Data Analysis Project, Customer Feedback Analysis, Simple Dashboard in Excel, SQL Query Practice Project, Business Process Mapping Exercise, KPI Tracking Dashboard, Requirement Gathering Mini-Project, Flowchart of Business Process, Inventory Analysis Project, Expense Tracking & Reporting, Basic Stakeholder Communication Report, Mini Case Study Analysis"
Business Analyst,Intermediate,"SQL Advanced (Joins, Subqueries, Window Functions, CTEs, Aggregations), Data Visualization (Tableau, Power BI, Matplotlib, Seaborn), Requirement Gathering Techniques (Interviews, Workshops, Surveys), BRD & FRD Preparation, Stakeholder Communication & Management, Agile Basics (Scrum Ceremonies, User Stories, Backlog Management), Data Cleaning & Preprocessing, KPI & Metric Analysis, Business Process Analysis, Gap Analysis, Use Case Modeling, Wireframing Basics, Dashboard Design Principles, ETL Concepts, Predictive Analytics Intro, Process Documentation Standards, Reporting Automation, SQL Performance Optimization, Scenario Analysis, Risk & Issue Tracking, Collaboration Tools (Jira, Confluence, Trello), Change Management Basics, User Acceptance Testing (UAT) Basics","Build Case Studies + Analytical Dashboards","Customer Segmentation Analysis Project, Sales Forecasting Dashboard, Business Process Optimization Case Study, Interactive Tableau Dashboard (KPIs & Metrics), SQL Complex Query Project, Agile Backlog Management Simulation, Requirements Documentation Project (BRD/FRD), Marketing Campaign Analysis, Employee Productivity Analysis, UAT Test Case Documentation, Risk Assessment & Reporting Project, Operational Data Analysis, Stakeholder Report Preparation, Inventory & Supply Chain Dashboard, Process Improvement Recommendations Project"
Business Analyst,Advanced,"Stakeholder Management (Influence, Communication, Negotiation), Business Strategy (Market Analysis, Competitive Intelligence, Strategic Planning), Process Optimization (Lean, Six Sigma, Workflow Automation), Agile & Scrum Mastery (Advanced Scrum, Scaling Agile, Kanban Boards), Data-Driven Decision Making (Predictive Analytics, Statistical Analysis, ROI Calculations), Advanced KPI Analysis & Reporting, Business Modeling (Financial, Operational), Enterprise System Analysis, Risk Management & Mitigation Strategies, Change Management (Strategy & Implementation), Advanced Dashboard Design (Interactive, Drill-down), Data Governance & Compliance, Strategic Planning & Roadmapping, Business Case Development, Leadership & Collaboration, Vendor & Client Management, Advanced Requirement Elicitation & Prioritization, Business Performance Monitoring, Data Quality & Validation, Scenario & Sensitivity Analysis, Decision Trees & Predictive Models, System Design Review, Enterprise-level Stakeholder Communication, Continuous Improvement Methodologies","Apply for BA Roles + Enterprise-Level Projects","Enterprise Business Process Optimization Project, Strategic Market Analysis & Report, Predictive Sales & Revenue Forecasting Model, KPI & Dashboard Automation Project, Risk & Issue Management Simulation, Advanced Stakeholder Communication Case Study, Lean/Six Sigma Process Improvement Project, Business Case Development Project, Data-Driven Decision-Making Simulation, Supply Chain Optimization Case Study, Advanced Data Visualization Project (Power BI/Tableau), System Integration & Analysis Project, Change Management Implementation Plan, Enterprise Reporting & KPI Automation, Strategic Roadmap Planning Project"

Product Manager,Beginner,"Product Fundamentals (Lifecycle, Roadmap, MVP Concept, Business Goals), Market Research (Customer Interviews, Surveys, Competitive Analysis), Communication Skills (Written, Verbal, Presentation), Problem Solving Techniques, User Understanding (Persona Creation, Journey Mapping), Basic UX/UI Concepts, Stakeholder Understanding, Prioritization Methods, Business Model Canvas, Basic Metrics (Adoption, Retention), Requirements Gathering Basics, Product Documentation, Basic Wireframing, Intro to Agile & Scrum, Feature Scoping, Idea Validation Techniques, Presentation Skills, Time Management, Data Interpretation, Tools Intro (Trello, Jira, Notion)","Learn Agile + Product Fundamentals","Customer Persona Creation Project, MVP Wireframe for App, Competitor Analysis Report, Product Feature Prioritization Exercise, Market Research Survey Project, Product Roadmap Draft, Basic A/B Test Simulation, Feature Requirement Document, Product Pitch Deck, Business Model Canvas Exercise"
Product Manager,Intermediate,"Agile/Scrum (Scrum Ceremonies, Backlog Grooming, Sprint Planning, Standups), Roadmapping (Long-term & Short-term Planning, Milestones), User Stories & Epics, Wireframing & Prototyping (Figma, Balsamiq), Product Metrics (KPIs, OKRs, Metrics Tracking), A/B Testing & Experimentation, Stakeholder Management, Product Lifecycle Management, Feature Validation, Product Backlog Management, Release Planning, Agile Reporting, Business Case Analysis, Prioritization Frameworks (RICE, MoSCoW), Risk Analysis, Product Documentation Advanced, Product Feedback Loops, Customer Journey Optimization, Feature Adoption Tracking, Collaboration Tools (Jira, Confluence), Analytics for PM, Product Strategy Basics","Build Product Case Studies + Real-World Product Management","Feature Prioritization Simulation, End-to-End Product Roadmap Project, A/B Testing Case Study, User Story Mapping Project, MVP Prototype in Figma, Product Metrics Dashboard, Stakeholder Communication Simulation, Release Planning Exercise, Product Launch Case Study, Feature Adoption Tracking Project, Customer Feedback Analysis, Agile Sprint Simulation, Product Backlog Management Project"
Product Manager,Advanced,"Product Strategy (Vision, Roadmap Alignment, Portfolio Strategy), Growth Strategies (Acquisition, Retention, Monetization, Virality), Leadership & Team Management (Stakeholders, Cross-functional Teams), Monetization & Pricing Models, Stakeholder Management (Executive Reporting, Investor Communication), Data-Driven Decision Making (Advanced Analytics, Predictive Insights), Scaling Products (Global Rollouts, Multi-Platform Strategy), Advanced Metrics (LTV, CAC, Churn, NPS), Product Innovation Techniques, Strategic Roadmapping, Market Expansion Strategy, Product Launch & Go-to-Market (GTM), Competitive Intelligence, Risk & Compliance, Strategic Prioritization Frameworks, KPI Dashboards, Product Marketing Alignment, Advanced Prototyping & User Testing, Growth Experimentation, Strategic Case Studies, Portfolio Optimization, Agile Scaling (SAFe, LeSS), Advanced Tools (Mixpanel, Amplitude, Jira Advanced)","Apply for Product Manager Roles + Enterprise-Level Product Projects","Enterprise Product Launch Strategy Project, Growth Experimentation Case Study, Data-Driven Product Decision Project, Multi-Platform Product Scaling Simulation, Advanced Product Roadmap & Portfolio Planning, Monetization Strategy Implementation, KPI & Analytics Dashboard Project, Go-to-Market (GTM) Strategy Project, User Testing & Prototype Optimization Project, Competitive Intelligence Report, Cross-Functional Team Leadership Case Study, Product Innovation Simulation, Market Expansion Strategy Project"

Graphic Designer,Beginner,"Design Fundamentals (Principles, Elements), Color Theory (Harmony, Psychology, Palettes), Typography Basics, Layout & Composition, Canva Basics, Adobe Photoshop Intro, Adobe Illustrator Intro, Image Editing Basics, Branding Basics (Logos, Identity), Visual Hierarchy, Creativity & Ideation, Basic UI Design Concepts, Mood Boards, Wireframing Basics, Graphic Design Tools Overview, Basic Print & Digital Design, Presentation Design, Portfolio Introduction, Time Management for Designers, File Formats & Resolution, Design Process Intro, Basic Photo Manipulation, Iconography Basics","Practice Designs + Learn Advanced Tools","Logo Design Mockup, Social Media Post Design, Flyer/Brochure Layout, Simple Branding Kit, Basic Infographic Project, Mood Board Creation, Personal Portfolio Website Design, Photo Editing Project, Poster Design Project, Presentation Template Design"
Graphic Designer,Intermediate,"Adobe Photoshop Advanced (Layers, Masks, Retouching, Filters), Illustrator Advanced (Vector Design, Pen Tool, Advanced Typography), UI/UX Basics (User Flow, Wireframes, Prototyping), Figma (Components, Prototyping, Collaboration), Logo & Branding Design, Social Media Creatives (Posts, Ads, Campaigns), Banner & Poster Design, Branding Identity Development, Wireframing & Prototyping, Design Systems & Guidelines, Motion Graphics Basics, Color Grading for Graphics, Typography Advanced, Portfolio Development, Collaboration Tools (Slack, Trello), User-Centered Design, Iconography & Illustration, Advanced Photo Manipulation, Creative Brief Interpretation, UX/UI Testing Basics, Storyboarding for Graphics, Marketing Collateral Design, Print Design Best Practices","Build Portfolio + Freelance Projects","Branding Case Study (Logo + Identity), Social Media Campaign Design, Marketing Banner & Poster Design, UI/UX Wireframe Project, Figma Prototype Project, Motion Graphics Intro Project, Illustrator Vector Art Project, Portfolio Website Project, Client Mock Project (Flyer/Infographic), Campaign Visual Asset Pack, Icon Set Design, Storyboard Design Project, Creative Brief Simulation Project"
Graphic Designer,Advanced,"UI/UX Design Advanced (Interaction Design, Information Architecture, Usability Testing), Figma Advanced (Variants, Auto Layout, Components, Prototyping), Design Systems (Enterprise Design Systems, Style Guides), User Research (Interviews, Surveys, Testing), Interaction & Motion Design, Motion Graphics Advanced (After Effects), 3D Design Basics (Blender/3DS Max), Branding Strategy & Management, Product Design & Experience, Usability Testing & Analytics, Design Thinking & Ideation, Portfolio Optimization & Case Studies, Visual Storytelling, Advanced Typography & Layouts, Animation Principles, Visual Effects Integration, Client Project Management, Cross-Platform Design (Web, Mobile), Accessibility (WCAG, ARIA), Advanced Illustration & Concept Art, Collaboration & Team Workflow (Agile/Design Sprints)","Apply for Designer Roles + Freelance/Agency Work + Enterprise Projects","Enterprise UI/UX Redesign Project, Motion Graphics Branding Video, Product Design Case Study, 3D Design & Animation Project, Usability Testing & Analytics Project, Advanced Branding Campaign Project, Interactive Figma Prototype Project, Client Portfolio Project, Enterprise Design System Implementation, Cross-Platform Design Project, Design Thinking Workshop Simulation, Accessibility Compliance Project, Visual Storytelling Video Project, Team Collaboration Design Sprint Project, Advanced Motion Graphics Reel"

Digital Marketing,Beginner,"Marketing Fundamentals (4Ps, Branding, Product Positioning), SEO Basics (On-page, Keywords, Meta Tags), Social Media Basics (Platforms, Engagement), Content Creation (Blogs, Graphics, Videos), Copywriting Basics (Ads, Posts), Branding & Identity, Canva Basics, Basic Analytics (Website, Social Media), Communication Skills, Email Marketing Intro, Marketing Channels Overview, Marketing Tools Basics, Customer Persona Basics, Campaign Planning, Social Media Scheduling, Content Calendar Basics, Customer Journey Intro, Competitor Analysis Intro, Marketing Metrics Basics, Intro to Paid Ads, Creative Writing Basics, Basic Marketing Reporting, Basic CRM Tools, Marketing Research Intro, Marketing Presentation Skills","Learn Advanced Digital Marketing + Content Creation","Social Media Post Campaign, Blog Writing Project, Basic SEO Optimization Project, Email Campaign Mockup, Branding Kit Project, Content Calendar Creation, Website Meta Tag Optimization, Basic Analytics Report, Canva Marketing Visuals, Personal Branding Project, Customer Persona Project, Marketing Competitor Report, Intro Paid Ads Campaign, Marketing Presentation Project, Small Campaign Planning Exercise"
Digital Marketing,Intermediate,"SEO Advanced (Technical SEO, Backlinks, Keyword Research, Site Audit), SEM (Google Ads, PPC Campaigns, Bidding Strategies), Social Media Marketing (Platform Strategies, Content Scheduling, Paid Campaigns), Content Marketing (Blogs, Videos, Infographics, Storytelling), Email Marketing (Segmentation, Automation, Campaigns), Google Analytics (Tracking, Goals, Conversions, Reports), Campaign Management (Planning, Execution, Optimization), A/B Testing & Conversion Optimization, Customer Journey Mapping, Marketing Funnel Optimization, Paid Media Strategy, Analytics Reporting, Influencer Marketing Basics, Copywriting for Conversions, Retargeting Campaigns, Landing Page Optimization, CRM Advanced, Engagement Metrics, UX Basics for Marketing, Marketing Automation Tools (HubSpot, Mailchimp), Competitor Benchmarking, Scenario Analysis, Social Listening, Content Repurposing, KPI Reporting","Run Campaigns + Build Case Studies","SEO Optimized Website Project, Google Ads Campaign Simulation, Social Media Campaign Project (Organic + Paid), Email Automation Campaign, Blog & Content Strategy Project, Landing Page Optimization Project, A/B Testing Campaign, Influencer Marketing Campaign Simulation, Analytics Dashboard Project, Retargeting Campaign Project, Marketing Funnel Optimization Exercise, Competitor Benchmark Analysis Project, Paid Media Campaign Project, Engagement Tracking Dashboard, Social Listening Report"
Digital Marketing,Advanced,"Performance Marketing (ROI, ROAS, Attribution), Growth Marketing (Acquisition, Retention, Virality, Funnel Optimization), Marketing Analytics (Predictive Analytics, Customer Segmentation, LTV Analysis), Conversion Rate Optimization (CRO), Funnel Building, Automation Tools & AI Tools, Affiliate Marketing, Influencer Marketing Advanced, Brand Strategy & Management, Data-Driven Marketing, ROI Optimization, Advanced SEO/SEM Strategy, Advanced Paid Media Scaling, Personalization & Targeting, Omnichannel Marketing Strategy, Product Marketing Integration, Campaign Planning & Execution, Marketing Tech Stack, Advanced Analytics Dashboards, KPI Tracking, Stakeholder Communication, Marketing Operations, Global Marketing Practices, Growth Experimentation, Strategic Marketing Projects, Customer Retention Programs","Apply for Digital Marketing Roles + Lead Campaigns + Enterprise Projects","Performance Marketing Campaign Project, Growth Experimentation Case Study, ROI & Attribution Dashboard, Marketing Analytics Dashboard (Predictive & Segmentation), Conversion Rate Optimization Project, Affiliate & Influencer Marketing Project, Advanced Paid Media Campaign Project, Omnichannel Marketing Strategy Project, Brand Strategy Case Study, Customer Retention Program Project, Campaign Automation Project, Marketing Funnel Optimization Project, Global Marketing Strategy Simulation, Strategic Product Marketing Launch, KPI & Analytics Reporting Project"

Video Editor,Beginner,"Video Editing Basics (Timeline, Cutting, Trimming), Transitions & Effects Basics, Audio Sync, Resolution & Formats, Frame Rates & Aspect Ratios, Color Basics, Storytelling Basics, Shot Composition, Intro to Premiere Pro/DaVinci Resolve, Export Settings & Formats, Video File Management, Basic Motion Effects, Intro to Titles & Captions, Audio Editing Basics, Basic Color Correction, Video Organization, Storyboarding Basics, Scene Sequencing, Video Project Planning, Rendering Basics, File Compression, Intro to Stock Footage & Assets, Basic Visual Effects, Camera Angles & Shots, Video Project Documentation, Timeline Management","Practice with Small Videos + Learn Advanced Tools","Short Video Editing Project (Reels/Shorts), Storyboarding Project, Basic YouTube Video Edit, Family/Personal Event Video, Short Clip Transitions Practice, Color Correction Exercise, Audio Sync Practice, Simple Motion Effects Project, Captioning & Titles Practice, Basic Tutorial Video Project, Timeline Management Practice, Basic VFX Demo, Video Rendering Exercise, Stock Footage Editing Project, Scene Sequencing Project"
Video Editor,Intermediate,"Adobe Premiere Pro Advanced (Layers, Keyframes, Color Correction, Audio Editing), DaVinci Resolve Advanced (Color Grading, Effects), Final Cut Basics, Motion Graphics Basics, Green Screen & Chroma Key, Sound Design & Mixing, Transitions & Effects Advanced, YouTube Editing Style (Shorts, Reels, Tutorials), Short-form Content Editing (Reels, Shorts), Video Optimization (Compression, Formats), Rendering Techniques & Export Presets, Video Storytelling, Multi-Camera Editing, Graphics & Overlays, Audio Effects, Basic VFX Integration, Workflow Management, Video Asset Organization, Collaboration Tools (Frame.io, Trello), Motion Tracking Basics, Audio Synchronization, Video Review & Feedback, Intro to After Effects, Branding Videos Project, Basic Animation Integration, Video Color Grading","Build Portfolio + Start Freelancing","YouTube Tutorial Video Project, Short-form Reels/Shorts Project, Multi-Camera Edit Project, Green Screen Project, Motion Graphics Intro Project, Branding Video Project, Social Media Video Campaign Project, Video Storytelling Project, Audio Mixing Project, Color Grading Project, Effects & Transitions Project, Basic VFX Project, Video Optimization & Export Project, Animation Integration Project, Client Mock Project"
Video Editor,Advanced,"Advanced Color Grading (DaVinci Resolve), Cinematic Editing & Storytelling Techniques, Motion Graphics (After Effects Advanced), VFX Basics & Integration (3D Elements), Advanced Transitions, Sound Mixing & Mastering, LUT Creation & Color Profiles, Branding & Commercial Videos, Film Editing Workflow, Client Project Handling, High-End Rendering & Export, Content Strategy for YouTube/Ads, Advanced Audio Editing & Effects, Advanced Visual Effects Integration, 3D Video Elements, Multi-Camera Cinematic Projects, Portfolio Optimization & Case Studies, Interactive & Immersive Video Projects, Collaborative Video Production, Script to Screen Workflow, Advanced Animation Integration, Marketing Video Production, Social Media Video Strategy, Storyboarding for Enterprise, Video SEO Optimization, Advanced Workflow Automation","Work with Clients + Build Brand + Apply for Jobs + Enterprise Projects","Cinematic Short Film Project, Advanced Motion Graphics Video, VFX Integration Project, 3D Animation Video, Branding & Commercial Video Project, High-End YouTube Video Project, Multi-Camera Film Edit, Portfolio Reel Project, Interactive/Immersive Video Project, Client Project Simulation, Marketing Video Campaign Project, Social Media Video Strategy Project, Advanced Audio Mastering Project, Enterprise Storyboarding Project, Script-to-Screen Production Project"